******-------------------------------------------------------------------------------------------------------------------****** 
Duration of the scene is: 42.1676 seconds
Original Targets Numbers in the hole Scene: 20
Number of Targets in the hole Scene after preprocessing: 88
Number of static portions: 2
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID21
Target can not be processed due to lack of Data
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID22
Target can not be processed due to lack of Data
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID23
Target can not be processed due to lack of Data
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID24
Target can not be processed due to lack of Data
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID25
Relevancy: 0
tj = Inf
Label: -1
Comment: Target is irrelevant as it is not crossing the estimated holding line
DATA:
13.802,0,-0,8.2195,-0.00039058,0,-0,0,0,Inf
13.842,0.33169,-0.0061388,8.2195,-0.00045159,0,-0,-0.0001,0,Inf
13.882,0.64015,-0.26154,8.3537,-0.58451,0.5066,-0.22998,-0.0699,-0.0861,-97.261
13.923,0.97703,-0.29046,8.3966,-0.61651,0.50437,-0.22909,-0.0733,-0.0861,-97.784
13.962,1.3123,-0.313,8.4392,-0.64912,0.50185,-0.22812,-0.0768,-0.0861,-98.305
14.002,1.7004,-0.26426,8.7906,-0.65977,1.0446,-0.47511,-0.0743,-0.1316,-66.986
14.042,2.054,-0.29367,8.8728,-0.71241,1.0424,-0.47411,-0.0795,-0.1316,-67.639
14.082,2.414,-0.33109,8.9547,-0.76674,1.0401,-0.47305,-0.0848,-0.1316,-68.294
14.122,2.7745,-0.36282,9.0364,-0.82185,1.037,-0.47175,-0.0901,-0.1316,-68.949
14.162,3.1383,-0.40075,9.1176,-0.87753,1.0334,-0.47021,-0.0954,-0.1316,-69.603
14.202,3.4708,-0.57925,7.7432,-7.0892,1.0686,-0.48655,-0.14108,-0.17258,-60.831
14.242,3.7754,-0.89087,7.687,-7.503,1.1038,-0.50293,-0.18685,-0.21364,-50.279
14.282,4.1033,-1.1024,8.9483,-2.1226,1.139,-0.51926,-0.2325,-0.2546,-36.122
14.322,4.3321,-1.1652,8.7331,-2.4819,1.1386,-0.51915,-0.2766,-0.3196,-28.407
14.362,4.6841,-1.2766,8.7637,-2.6117,1.1492,-0.52414,-0.2894,-0.3196,-28.613
14.402,5.0357,-1.3855,8.7923,-2.7428,1.1594,-0.5289,-0.3022,-0.3196,-28.818
14.442,5.3896,-1.5022,8.8189,-2.8755,1.1692,-0.53354,-0.315,-0.3196,-29.023
14.482,5.7435,-1.6224,8.8437,-3.0087,1.1788,-0.53789,-0.3277,-0.3196,-29.229
14.522,6.0969,-1.745,8.8664,-3.1439,1.1878,-0.54218,-0.3406,-0.3196,-29.434
14.562,6.1961,-2.5946,8.0234,-4.6749,1.4882,-0.67928,-0.5273,-0.5035,-18.443
14.602,6.5159,-2.7874,7.9796,-4.8675,1.508,-0.68834,-0.5474,-0.5035,-18.564
14.642,6.8329,-2.9844,7.9313,-5.0604,1.527,-0.69705,-0.5676,-0.5035,-18.685
14.682,7.1516,-3.1999,7.8784,-5.2532,1.5453,-0.7052,-0.5877,-0.5035,-18.807
14.722,7.4642,-3.4137,7.8205,-5.4466,1.5625,-0.71309,-0.6079,-0.5035,-18.928
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID26
Target can not be processed due to lack of Data
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID02
Target can not be processed due to lack of Data
******-------------------------------------------------------------------------------------------------------------------****** 
TargetID: ID35
Relevancy: 1
tj = 12.9217
Label: 0
Comment: Target is relevant and going straight, since the velocity ratio is almost not changing
DATA:
11.281,-0,-0,2.2804,0.050538,-1.2887,-0.92099,0,0.0137,166.49
11.321,0.10527,0.018959,2.3475,0.030649,-0.5496,-0.38673,0.0043,0.0059,397.92
11.361,0.24931,0.071999,2.4484,0.069252,-0.032362,-0.022562,0.0278,0.0007,3499
11.401,0.34606,0.073371,2.3918,-0.0002284,-0.029653,-0.020669,0.17854,-0.0029923,-799.32
